Area Name,Area ID,Year,Age Group,Male,Hispanic Total,Hispanic Male,Hispanic Female,Hispanic White Total,Hispanic White Male,Hispanic White Female,Hispanic Black Total,Hispanic Black Male,Hispanic Black Female,Hispanic AIAN Total,Hispanic AIAN Male,Hispanic AIAN Female,Hispanic Asian Total,Hispanic Asian Male,Hispanic Asian Female,Hispanic NHOPI Total,Hispanic NHOPI Male,Hispanic NHOPI Female,Hispanic Two or More Races Total,Hispanic Two or More Races Male,Hispanic Two or More Races Female,Non-Hispanic Total,Non-Hispanic Male,Non-Hispanic Female,Non-Hispanic White Total,Non-Hispanic White Male,Non-Hispanic White Female,Non-Hispanic Black Total,Non-Hispanic Black Male,Non-Hispanic Black Female,Non-Hispanic AIAN Total,Non-Hispanic AIAN Male,Non-Hispanic AIAN Female,Non-Hispanic Asian Total,Non-Hispanic Asian Male,Non-Hispanic Asian Female,Non-Hispanic NHOPI Total,Non-Hispanic NHOPI Male,Non-Hispanic NHOPI Female,Non-Hispanic Two or More Races Total,Non-Hispanic Two or More Races Male,Non-Hispanic Two or More Races Female
Chelan,53007,2010,0-4,"2,577","2,335","1,213","1,122","2,161","1,119","1,042",17,5,12,85,44,41,11,5,6,7,4,3,54,36,18,"2,580","1,364","1,216","2,378","1,254","1,124",14,7,7,20,11,9,35,17,18,9,4,5,124,71,53
Chelan,53007,2010,5-9,"2,517","2,121","1,125",996,"1,976","1,040",936,16,11,5,75,42,33,8,6,2,2,1,1,44,25,19,"2,743","1,392","1,351","2,519","1,269","1,250",17,8,9,30,16,14,49,22,27,5,2,3,123,75,48
Chelan,53007,2010,10-14,"2,554","2,004","1,033",971,"1,863",959,904,14,9,5,83,40,43,8,4,4,6,6,0,30,15,15,"3,068","1,521","1,547","2,847","1,414","1,433",19,9,10,31,19,12,39,11,28,5,3,2,127,65,62
Chelan,53007,2010,15-19,"2,668","1,974",991,983,"1,826",912,914,19,11,8,74,41,33,10,7,3,7,4,3,38,16,22,"3,228","1,677","1,551","3,008","1,557","1,451",17,11,6,38,20,18,43,23,20,8,5,3,114,61,53
Chelan,53007,2010,20-24,"2,239","1,712",911,801,"1,593",850,743,18,7,11,56,33,23,10,6,4,8,5,3,27,10,17,"2,548","1,328","1,220","2,373","1,229","1,144",9,8,1,39,19,20,44,25,19,5,4,1,78,43,35
Chelan,53007,2010,25-29,"2,229","1,642",884,758,"1,535",833,702,12,6,6,57,27,30,6,1,5,4,2,2,28,15,13,"2,667","1,345","1,322","2,515","1,267","1,248",11,6,5,41,23,18,36,18,18,2,2,0,62,29,33
Chelan,53007,2010,30-34,"2,058","1,524",796,728,"1,419",739,680,18,12,6,63,32,31,5,3,2,2,1,1,17,9,8,"2,574","1,262","1,312","2,441","1,208","1,233",15,7,8,24,8,16,40,14,26,4,1,3,50,24,26
Chelan,53007,2010,35-39,"2,004","1,291",650,641,"1,208",608,600,9,4,5,49,24,25,7,4,3,1,1,0,17,9,8,"2,791","1,354","1,437","2,611","1,274","1,337",19,12,7,39,13,26,54,23,31,9,6,3,59,26,33
Chelan,53007,2010,40-44,"2,151","1,201",606,595,"1,118",568,550,12,5,7,33,16,17,7,2,5,4,1,3,27,14,13,"3,090","1,545","1,545","2,951","1,485","1,466",4,2,2,35,18,17,44,19,25,9,4,5,47,17,30
Chelan,53007,2010,45-49,"2,487",997,563,434,923,522,401,12,9,3,35,19,16,6,5,1,10,4,6,11,4,7,"4,037","1,924","2,113","3,840","1,836","2,004",21,17,4,54,28,26,42,13,29,13,6,7,67,24,43
